what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309374698512
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309374721458
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1309374838454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309374845290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309374849529
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309374851841
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375303455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309375306589
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375484316
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375536135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309375537606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309379020951
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309379021651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309379024139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309379029260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309382519016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309382529460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309382532417
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309382532750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383039851
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309383080183
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309383180349
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383255093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383268337
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383269162
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383583394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383583852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383811074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383811860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383829599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383829898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383840898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309383842375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384150984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384151740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384172162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384172799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384387895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384389054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384528497
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384529397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384530156
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309384530277
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385392384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385394172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385476590
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385477715
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385574887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385575310
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385832652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309385832898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309386093015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309386093962
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309386285854
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309386286768
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309388422926
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309388423045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309388789830
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309388790172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309389167442
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309389180939
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309389183849
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309389214543
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309389227560
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309389238023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309389250785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309391084083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309391084283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309457688290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309457690334
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309457709975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309457715556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458585472
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309458595502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458609647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458610279
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458610477
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458965351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309458965370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459007555
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309459013917
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1309459049902
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1309459054072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459124574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459124761
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1309459132459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459136822
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459147346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459157543
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459163760
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459222275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459227283
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309459290413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459305815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459305936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309459310818
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309459312185
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309459358943
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309459369116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459531033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459667196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309459667790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460252118
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460291113
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460297711
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460313610
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460323156
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460330812
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460377769
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309460393954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460471799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460471883
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460477503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460477672
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460482279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460511806
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1309460517153
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1309460517730
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1309460519430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460520821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460861120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460861528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309460862137
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309461108941
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309461125852
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309461137032
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1309461390539
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461483312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461566975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1309461569001
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1309461570148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461587141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461606879
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461608473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461609693
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1309461662395
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309461748780
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461791155
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461791308
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461797111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461797235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1309461863813
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461874758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461874951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1309461920594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461923908
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.core",1309461926058
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309461926711
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1309461929945
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1309461930048
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1309461930084
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1309461930175
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1309461930237
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1309461930318
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1309461930351
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1309461930446
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1309461930487
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1309461930522
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1309461930522
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1309461930596
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1309461930631
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1309461930706
