what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1309366811685
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1309366811685
os,sysinfo,,,"linux",1309366811689
arch,sysinfo,,,"x86",1309366811689
ws,sysinfo,,,"gtk",1309366811689
locale,sysinfo,,,"en_US",1309366811689
processors,sysinfo,,,"2",1309366811690
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1309366811690
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1309366811690
java.specification.name,sysinfo,,,"Java Platform API Specification",1309366811690
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309366811690
java.specification.version,sysinfo,,,"1.6",1309366811690
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309366811690
java.version,sysinfo,,,"1.6.0_20",1309366811690
java.vm.info,sysinfo,,,"mixed mode, sharing",1309366811690
java.vm.name,sysinfo,,,"OpenJDK Client VM",1309366811690
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309366811690
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309366811690
java.vm.specification.version,sysinfo,,,"1.0",1309366811690
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309366811690
java.vm.version,sysinfo,,,"19.0-b09",1309366811690
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1309366811750
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1309366811865
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1309366811938
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1309366812086
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1309366812087
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1309366812223
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1309366812237
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1309366812398
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1309366812455
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1309366812685
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1309366812713
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1309366812800
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1309366813036
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1309366813242
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1309366813286
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1309366813501
started,bundle,org.eclipse.dltk.core,2.0.1.v20100806-1245,"org.eclipse.dltk.core",1309366813541
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1309366813768
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100806-1245,"org.eclipse.dltk.launching",1309366813882
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui",1309366813917
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100410-0300,"org.eclipse.php.debug.daemon",1309366813926
